url,ein,title,org_type
https://archive.la2050.org/neighborhood-council-sustainability-alliance,475283695,Neighborhood Council Sustainability Alliance,Other
https://archive.la2050.org/nextstage-agency,471442024,NextStage Agency,For profit business
https://archive.la2050.org/notow,824997963,NoTow,For profit business
https://archive.la2050.org/novelly,832216402,Novelly,For profit business
https://archive.la2050.org/off-the-saw,465189527,Off The Saw,For profit business
https://archive.la2050.org/office-of-mayor-eric-garcetti-census-2020-initiative,956000735,"City of Los Angeles, Bureau of Street Lighting",Government
https://archive.la2050.org/operations-south-bureau-community-stakeholder-collaboration,270889800,LAPD Southwest Business Booster Association Inc.,For profit business
https://archive.la2050.org/pacesetter-productions,461206998,Pacesetter Productions,For profit business
https://archive.la2050.org/participlay,208482508,Participlay,For profit business
https://archive.la2050.org/peace-allies,471459497,Peace Allies,For profit business
https://archive.la2050.org/perceptoscope,474185645,Perceptoscope,For profit business
https://archive.la2050.org/play-with-music-the-new-history-parent-organization-of-play-with-music-current-transition-filing-501c3-status-for-play-with-music,471474363,"Play with Music, The New History (parent organization of Play with Music, current transition filing 501c3 status for Play with Music)",For profit business
https://archive.la2050.org/plug-in-south-la,475199699,Plug In South LA,For profit business
https://archive.la2050.org/podshare,811021799,Podshare,For profit business
https://archive.la2050.org/polar-tech-ed-and-consulting-llc-patrick-leon,462805525,Polar Tech Ed and Consulting LLC/Patrick Leon,For profit business
https://archive.la2050.org/proktr,464405903,Proktr,For profit business
https://archive.la2050.org/psychic-bunny,900406307,Psychic Bunny,For profit business
https://archive.la2050.org/pwrdby,270526225,PwrdBy,For profit business
https://archive.la2050.org/rebel-labs-inc,825169166,Rebel Labs Inc.,For profit business
https://archive.la2050.org/regional-la,824799787,REGIONAL.LA,For profit business
https://archive.la2050.org/revolutionize-hollywood,812011003,Revolutionize Hollywood,For profit business
https://archive.la2050.org/river-wild-llc,473732729,River Wild LLC,For profit business
https://archive.la2050.org/riverlanding-collective,900627151,RiverLAnding Collective,For profit business
https://archive.la2050.org/rrm-design-group-and-los-angeles-neighborhood-initiative,952923783,RRM Design Group and Los Angeles Neighborhood Initiative,For profit business
https://archive.la2050.org/ruckus-projects,474688368,Ruckus Projects,For profit business
https://archive.la2050.org/sabio-enterprises-inc,464000152,"Sabio Enterprises, Inc.",For profit business
https://archive.la2050.org/santa-monica-college,952767537,Santa Monica College,Government
https://archive.la2050.org/santa-monica-cradle-to-career-led-by-city-of-santa-monica-in-partnership-with-smmusd,956000790,"Santa Monica Cradle to Career, led by City of Santa Monica in partnership with SMMUSD",Government
https://archive.la2050.org/shared-harvest,824269966,Shared Harvest,For profit business
https://archive.la2050.org/skoolbo-ltd,421774453,Skoolbo LTD,For profit business
https://archive.la2050.org/smartestk12-com,461700311,smartestk12.com,For profit business
https://archive.la2050.org/sola-food-co-op,464872589,SoLA Food Co-op,For profit business
https://archive.la2050.org/string-theory-productions,710929869,String Theory Productions,For profit business
https://archive.la2050.org/strivers-la-via-new-economy-campaigns,452991222,Strivers.LA via New Economy Campaigns,For profit business
